ZEIT,RAUMID,Ausl,DmMH,DoMH,Einwohner
201112,01011101,835,515,1476,2826
201112,01011102,0,0,0,0
201112,01011103,1469,1097,2225,4791
201112,01011104,1319,1149,1380,3848
201112,01011105,314,127,516,957
201112,01011201,633,360,1138,2131
201112,01011202,114,45,324,483
201112,01011203,266,83,473,822
201112,01011204,1178,818,3735,5731
201112,01011301,1081,451,3323,4855
201112,01011302,2411,1231,8328,11970
201112,01011303,1703,889,5526,8118
201112,01011304,1309,996,5895,8200
201112,01011305,971,640,4684,6295
201112,01011306,1381,971,5403,7755
201112,01011401,2634,1271,9864,13769
201112,01011402,2323,1029,8446,11798
201112,01022101,914,470,1724,3108
201112,01022102,2123,1043,2674,5840
201112,01022103,71,54,82,207
201112,01022104,4438,3145,9400,16983
201112,01022105,1532,1118,2223,4873
201112,01022106,1721,1631,7525,10877
201112,01022201,2602,1894,5404,9900
201112,01022202,452,458,557,1467
201112,01022203,2002,1673,2801,6476
201112,01022204,1120,809,3676,5605
201112,01022205,848,835,1359,3042
201112,01022206,555,535,1921,3011
201112,01022207,1309,740,3280,5329
201112,01033101,8629,5109,10397,24135
201112,01033102,3911,2389,4613,10913
201112,01033201,3853,4487,4433,12773
201112,01033202,2439,2619,4447,9505
201112,01033203,4626,3177,5209,13012
201112,01044101,4803,3205,10903,18911
201112,01044102,2793,2090,10074,14957
201112,01044103,2193,1307,4078,7578
201112,01044201,9037,5490,7316,21843
201112,01044202,5708,2730,7044,15482
201112,01044203,5552,2921,6738,15211
201112,02010101,2224,1931,1912,6067
201112,02010102,3846,4613,4230,12689
201112,02010103,4967,5086,5179,15232
201112,02010104,1599,1648,1719,4966
201112,02020201,68,43,156,267
201112,02020202,1259,827,3475,5561
201112,02020203,2112,1507,6428,10047
201112,02020204,2664,1772,7452,11888
201112,02020205,3259,2195,9159,14613
201112,02020206,4788,3089,10664,18541
201112,02030301,3579,2212,3391,9182
201112,02030302,4266,2705,6185,13156
201112,02030401,4227,2409,8239,14875
201112,02030402,3613,1752,5859,11224
201112,02040501,535,516,4291,5342
201112,02040502,774,562,5451,6787
201112,02040503,1106,617,8408,10131
201112,02040701,2226,1255,8658,12139
201112,02040702,1082,631,8543,10256
201112,02040703,185,66,295,546
201112,02050601,1139,528,6826,8493
201112,02050602,2468,1234,14968,18670
201112,02050801,2717,1311,14019,18047
201112,02050802,2696,1069,15052,18817
201112,02050803,857,392,5067,6316
201112,02050804,167,234,2616,3017
201112,03010101,106,105,2675,2886
201112,03010102,273,396,9290,9959
201112,03010104,0,0,0,0
201112,03020203,22,51,1846,1919
201112,03020209,652,621,12059,13332
201112,03020210,310,506,9251,10067
201112,03020307,456,1104,15222,16782
201112,03030405,245,566,9851,10662
201112,03030406,160,326,7545,8031
201112,03030711,80,186,6236,6502
201112,03030715,144,248,6105,6497
201112,03030716,15,19,1093,1127
201112,03040508,189,567,3739,4495
201112,03040512,327,612,8414,9353
201112,03040513,141,212,2928,3281
201112,03040614,1255,1579,29613,32447
201112,03040818,1535,1285,29013,31833
201112,03050919,105,129,4639,4873
201112,03050920,285,261,5843,6389
201112,03050923,535,385,7183,8103
201112,03050924,434,253,4659,5346
201112,03050925,402,320,7512,8234
201112,03051017,260,269,3544,4073
201112,03051021,288,165,5959,6412
201112,03051022,91,138,4289,4518
201112,03061126,1663,929,11448,14040
201112,03061131,1514,649,7418,9581
201112,03061227,1463,851,11537,13851
201112,03061228,1046,571,10343,11960
201112,03061332,3058,1723,16424,21205
201112,03061429,402,415,9273,10090
201112,03061430,184,161,2548,2893
201112,03061434,560,314,4873,5747
201112,03061435,420,225,3186,3831
201112,03061441,121,181,1429,1731
201112,03071536,1908,971,7286,10165
201112,03071537,2256,1193,10623,14072
201112,03071633,207,185,2244,2636
201112,03071638,2411,1280,12575,16266
201112,03071639,1468,940,9498,11906
201112,04010101,1802,1925,6236,9963
201112,04010102,122,44,552,718
201112,04010103,1390,1826,4191,7407
201112,04020204,0,0,0,0
201112,04020205,144,94,990,1228
201112,04020206,241,220,2104,2565
201112,04020207,338,330,1945,2613
201112,04020208,325,346,2160,2831
201112,04020209,796,293,2042,3131
201112,04020310,199,63,329,591
201112,04020311,1862,1636,10391,13889
201112,04020312,574,594,3712,4880
201112,04020313,1294,911,4610,6815
201112,04020314,0,0,0,0
201112,04030415,878,363,1419,2660
201112,04030416,2566,2039,5536,10141
201112,04030417,1997,1542,6809,10348
201112,04030518,1933,1543,5512,8988
201112,04030519,1134,918,3189,5241
201112,04030620,1877,1503,4976,8356
201112,04030621,870,620,1437,2927
201112,04030622,2377,1879,5644,9900
201112,04030623,1294,997,2003,4294
201112,04030724,1161,899,4195,6255
201112,04030725,2519,1556,7356,11431
201112,04030726,1162,925,3158,5245
201112,04030827,3332,2159,5791,11282
201112,04030828,2286,1438,5459,9183
201112,04030929,1467,893,3492,5852
201112,04030930,1320,778,3172,5270
201112,04030931,998,645,1797,3440
201112,04031032,2773,2211,9212,14196
201112,04041133,0,0,0,0
201112,04041134,867,659,3089,4615
201112,04041135,454,421,1833,2708
201112,04041136,445,390,2042,2877
201112,04041137,1235,1153,5250,7638
201112,04041238,685,751,4011,5447
201112,04041239,0,0,0,0
201112,04041240,204,193,1136,1533
201112,04041241,607,726,5334,6667
201112,04041342,573,592,2849,4014
201112,04041343,488,490,2498,3476
201112,04041344,1385,1126,8025,10536
201112,04051445,1020,1037,3690,5747
201112,04051446,2086,1637,6241,9964
201112,04051447,1084,765,3191,5040
201112,04051448,1983,1415,5176,8574
201112,04051549,773,604,2708,4085
201112,04051550,1021,853,3342,5216
201112,04051551,850,654,2686,4190
201112,04051652,1777,1335,6134,9246
201112,04051653,1271,986,4132,6389
201112,04051654,475,411,1987,2873
201112,04051655,1284,1100,4202,6586
201112,04051656,1051,965,5245,7261
201112,04061757,0,0,0,0
201112,05010101,972,1198,7513,9683
201112,05010102,382,450,4728,5560
201112,05010103,411,604,6405,7420
201112,05010204,351,673,2142,3166
201112,05010205,136,324,1485,1945
201112,05010206,859,1836,7222,9917
201112,05010207,1511,3323,6129,10963
201112,05010208,786,869,5451,7106
201112,05010209,500,851,4564,5915
201112,05010310,401,432,2779,3612
201112,05010311,1003,1329,2800,5132
201112,05010312,1615,999,3600,6214
201112,05010313,1073,931,4297,6301
201112,05010314,1609,1874,7699,11182
201112,05010339,36,46,338,420
201112,05020415,170,513,3329,4012
201112,05020416,28,67,1682,1777
201112,05020417,408,799,4369,5576
201112,05020418,248,387,3427,4062
201112,05020419,488,789,5489,6766
201112,05020420,50,93,811,954
201112,05020521,161,387,2140,2688
201112,05020522,680,1058,4638,6376
201112,05020523,1933,3676,5946,11555
201112,05020524,279,553,5236,6068
201112,05020625,802,1043,5284,7129
201112,05020626,2016,1995,12582,16593
201112,05020627,428,739,2606,3773
201112,05020628,173,244,1603,2020
201112,05020629,220,360,3793,4373
201112,05030730,427,1101,1754,3282
201112,05030731,1396,2339,6750,10485
201112,05030832,1849,2064,6937,10850
201112,05030833,391,107,276,774
201112,05040934,148,325,2962,3435
201112,05040935,18,37,334,389
201112,05040936,281,776,7179,8236
201112,05040937,88,160,1882,2130
201112,05040938,121,268,3189,3578
201112,06010101,700,781,5281,6762
201112,06010102,1437,1168,5827,8432
201112,06010103,884,955,4367,6206
201112,06010204,823,1010,4817,6650
201112,06010205,1038,1358,6932,9328
201112,06010206,942,896,5708,7546
201112,06010207,1146,1100,5566,7812
201112,06010208,848,875,4690,6413
201112,06010209,1244,1210,6338,8792
201112,06010210,570,612,3617,4799
201112,06020301,368,558,3996,4922
201112,06020302,488,582,4259,5329
201112,06020303,821,852,5416,7089
201112,06020304,698,810,5275,6783
201112,06020305,1642,1563,7591,10796
201112,06020306,395,662,5373,6430
201112,06020407,1042,1216,2488,4746
201112,06020408,537,730,5270,6537
201112,06020409,801,817,6438,8056
201112,06020410,516,577,5739,6832
201112,06020411,654,1098,6738,8490
201112,06030501,436,490,4591,5517
201112,06030502,418,505,4202,5125
201112,06030503,1245,1419,8513,11177
201112,06030504,916,1088,8863,10867
201112,06030605,841,800,5201,6842
201112,06030606,698,626,3654,4978
201112,06030607,856,299,2051,3206
201112,06030608,978,1398,8758,11134
201112,06030609,1179,1138,9148,11465
201112,06030610,870,838,6368,8076
201112,06040701,837,845,7734,9416
201112,06040702,415,650,4348,5413
201112,06040703,1610,992,8081,10683
201112,06040804,637,677,6236,7550
201112,06040805,462,527,4240,5229
201112,06040806,446,551,6221,7218
201112,06040807,641,625,4547,5813
201112,06040808,577,857,2660,4094
201112,06040809,864,523,3587,4974
201112,06040810,913,853,4882,6648
201112,07010101,2086,1736,5380,9202
201112,07010102,4508,3258,7271,15037
201112,07010103,1787,1439,6512,9738
201112,07010104,4451,2908,5770,13129
201112,07020201,1590,1570,7054,10214
201112,07020202,1877,1574,5938,9389
201112,07020203,3867,2950,10040,16857
201112,07020204,2163,1518,7385,11066
201112,07030301,2568,2817,17920,23305
201112,07030302,1154,1354,6458,8966
201112,07030303,2301,2357,7074,11732
201112,07040401,2432,3000,10623,16055
201112,07040402,160,219,1714,2093
201112,07040403,3469,3527,15421,22417
201112,07040404,498,592,3904,4994
201112,07040405,1777,1788,6511,10076
201112,07040406,766,604,1944,3314
201112,07050501,2266,2650,10513,15429
201112,07050502,1034,1105,5364,7503
201112,07050503,982,1339,6610,8931
201112,07050504,521,896,3992,5409
201112,07050505,941,1515,7890,10346
201112,07050506,146,302,1758,2206
201112,07060601,1575,1895,6225,9695
201112,07060602,315,524,3714,4553
201112,07060603,270,541,1895,2706
201112,07060604,1366,3175,8937,13478
201112,07070701,669,1067,8575,10311
201112,07070702,418,1061,8568,10047
201112,07070703,571,1090,6133,7794
201112,07070704,719,1622,5548,7889
201112,07070705,325,703,5998,7026
201112,07070706,115,254,3213,3582
201112,07070707,147,166,2486,2799
201112,08010115,180,137,520,837
201112,08010116,1130,700,1649,3479
201112,08010117,4810,2492,8187,15489
201112,08010118,3903,2586,4633,11122
201112,08010211,3714,1758,4184,9656
201112,08010212,2459,2402,2476,7337
201112,08010213,4179,2189,5744,12112
201112,08010214,2775,1634,3381,7790
201112,08010301,7756,4487,14873,27116
201112,08010302,638,480,2560,3678
201112,08010303,3070,1518,3451,8039
201112,08010404,7605,4006,11065,22676
201112,08010405,2631,1287,4898,8816
201112,08010406,2192,1381,3054,6627
201112,08010407,166,114,470,750
201112,08010508,1596,1659,1906,5161
201112,08010509,2801,2840,3587,9228
201112,08010510,147,67,136,350
201112,08020619,2124,2190,5258,9572
201112,08020620,1525,1845,5603,8973
201112,08020621,156,343,1818,2317
201112,08020622,1338,1768,10967,14073
201112,08020623,132,131,999,1262
201112,08020624,90,141,784,1015
201112,08020625,386,394,2514,3294
201112,08020726,615,1034,6554,8203
201112,08020727,794,1561,8987,11342
201112,08020728,1072,1368,5624,8064
201112,08030829,2028,3199,6924,12151
201112,08030830,878,1545,4778,7201
201112,08030831,2772,4783,9150,16705
201112,08040932,244,448,2073,2765
201112,08040933,377,672,2896,3945
201112,08040934,237,394,1955,2586
201112,08041035,594,1041,5969,7604
201112,08041036,477,712,5638,6827
201112,08041037,598,1099,7861,9558
201112,08041038,329,730,5274,6333
201112,08041039,366,744,2451,3561
201112,08041040,530,1066,6442,8038
201112,09010101,1367,1151,8333,10851
201112,09010102,0,0,0,0
201112,09010201,236,247,3674,4157
201112,09010202,217,218,6192,6627
201112,09010301,575,631,13133,14339
201112,09010302,171,305,2418,2894
201112,09010401,140,259,7411,7810
201112,09010402,376,587,9546,10509
201112,09020501,420,259,4875,5554
201112,09020502,762,629,12219,13610
201112,09020601,670,303,6047,7020
201112,09020602,36,106,3287,3429
201112,09020701,51,6,187,244
201112,09020702,486,465,14191,15142
201112,09020801,50,88,2625,2763
201112,09020802,304,268,6508,7080
201112,09030901,369,578,11088,12035
201112,09030902,247,329,5145,5721
201112,09030903,224,737,6831,7792
201112,09031001,331,399,11176,11906
201112,09031101,142,154,5102,5398
201112,09031201,33,63,1664,1760
201112,09031202,71,85,2146,2302
201112,09041301,184,351,13291,13826
201112,09041302,33,51,1709,1793
201112,09041401,52,162,4391,4605
201112,09041402,19,116,1366,1501
201112,09041501,209,354,6306,6869
201112,09041601,91,188,6227,6506
201112,09051701,36,72,3389,3497
201112,09051702,269,390,13322,13981
201112,09051801,179,295,8490,8964
201112,09051901,267,295,8862,9424
201112,09052001,192,365,11734,12291
201112,10010101,484,684,4342,5510
201112,10010102,1081,2321,13746,17148
201112,10010203,310,47,270,627
201112,10010204,483,1261,8279,10023
201112,10010205,291,516,7017,7824
201112,10010206,841,1450,13923,16214
201112,10010207,671,1160,8675,10506
201112,10010308,109,106,1455,1670
201112,10010309,808,1615,11901,14324
201112,10010310,713,1613,14850,17176
201112,10010311,85,293,2563,2941
201112,10020412,387,736,5097,6220
201112,10020413,477,856,13167,14500
201112,10020414,116,520,1053,1689
201112,10020415,288,268,4629,5185
201112,10020416,348,384,4465,5197
201112,10020517,164,390,8240,8794
201112,10020518,159,245,4501,4905
201112,10020519,195,242,4312,4749
201112,10020620,156,259,2813,3228
201112,10020621,232,296,5267,5795
201112,10020622,298,550,7805,8653
201112,10020623,149,373,6060,6582
201112,10030724,705,385,6743,7833
201112,10030725,255,353,5208,5816
201112,10030726,57,106,2485,2648
201112,10030727,181,442,8229,8852
201112,10040828,141,259,7328,7728
201112,10040829,49,106,3365,3520
201112,10040830,118,261,7075,7454
201112,10040931,150,313,8406,8869
201112,10040932,73,113,3675,3861
201112,10040933,185,434,13637,14256
201112,11010101,12,19,455,486
201112,11010102,32,47,2365,2444
201112,11010103,22,39,1201,1262
201112,11010204,626,1009,6865,8500
201112,11010205,491,824,5302,6617
201112,11010206,282,419,5113,5814
201112,11010207,229,432,5898,6559
201112,11010308,752,1237,9129,11118
201112,11010309,788,803,7901,9492
201112,11010310,173,256,4838,5267
201112,11020411,445,314,6632,7391
201112,11020412,322,419,5340,6081
201112,11020513,57,144,3247,3448
201112,11020514,712,224,7125,8061
201112,11020515,1095,1178,11866,14139
201112,11020516,138,176,3420,3734
201112,11030617,792,644,4562,5998
201112,11030618,1325,1385,12797,15507
201112,11030619,1001,1165,8051,10217
201112,11030720,1522,226,1820,3568
201112,11030721,1581,1178,17691,20450
201112,11030824,1438,1212,7011,9661
201112,11040925,272,200,2860,3332
201112,11040926,1917,1400,22717,26034
201112,11041022,495,435,4004,4934
201112,11041023,610,700,4479,5789
201112,11041027,180,221,2204,2605
201112,11041128,2243,1751,20116,24110
201112,11051229,163,200,2900,3263
201112,11051330,697,328,6772,7797
201112,11051331,334,371,8483,9188
201112,11051332,185,287,5128,5600
201112,12103115,1312,1254,4748,7314
201112,12103116,1775,1579,5539,8893
201112,12103117,2105,1858,5484,9447
201112,12103218,2024,2299,8320,12643
201112,12103219,1337,1360,5607,8304
201112,12103220,507,543,3509,4559
201112,12214125,762,737,5512,7011
201112,12214126,861,1358,5318,7537
201112,12214421,323,311,1796,2430
201112,12214422,1668,1898,3823,7389
201112,12214423,703,987,3796,5486
201112,12214424,2065,1744,5878,9687
201112,12214527,758,858,8393,10009
201112,12214528,15,34,158,207
201112,12224229,234,440,5276,5950
201112,12224230,600,1196,15823,17619
201112,12231101,622,1017,14473,16112
201112,12231102,584,1212,14778,16574
201112,12301203,1083,1418,10947,13448
201112,12301204,396,634,5100,6130
201112,12301205,240,447,4092,4779
201112,12301206,200,380,4254,4834
201112,12302107,294,588,2018,2900
201112,12302108,1832,2698,8766,13296
201112,12302109,1967,2313,5734,10014
201112,12302110,1763,2377,5067,9207
201112,12302211,206,397,2540,3143
201112,12302212,543,826,3682,5051
201112,12304313,503,500,5404,6407
201112,12304314,443,682,8442,9567
